stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
89221,,Volcan Maipo - Villarica,,-33.0702404538988,-71.4251146651804,,,0,,
89222,,Sotomayor - Errazuriz - Puerto,,-33.0379218517415,-71.6283271182328,,,0,,
89223,,Errazuriz - Gomez Carreño,,-33.0398643289243,-71.6258916724473,,,0,,
89224,,Plaza El Retiro,,-33.0385242289327,-71.4414602983743,,,0,,
89225,,Mateo De Toro Y Zambrano - Central,,-33.0364420868274,-71.4120705798268,,,0,,
89226,,Freire 1133,,-33.0441790425876,-71.4363909233361,,,0,,
89227,,Rotary Club,,-33.0442442450812,-71.3702500797808,,,0,,
89228,,Estación Portales / Norte,,-33.0329185226004,-71.5916747320443,,,0,,
89229,,Nueva Hipódromo - Hipódromo / Sur,,-33.0622989814045,-71.3568392861634,,,0,,
89230,,Pje Dieciseis,,-33.0592410378746,-71.3870927284006,,,0,,
89231,,Ricardo Cumming - Rio Loco,,-33.0593699189323,-71.441414700821,,,0,,
89232,,Freire - Almirante Williams Rebolledo Santa Isabel,,-33.0461688210859,-71.4038581587374,,,0,,
89233,,Portal El Belloto Jumbo,,-33.043587721217,-71.4218745566905,,,0,,
89234,,Ojos De Agua - René Quevedo,,-33.0500493219131,-71.3986629713327,,,0,,
89235,,La Palma - Cuatro Sur,,-33.0599543904482,-71.3697487581521,,,0,,
89236,,Maturana - García,,-33.0580998039896,-71.3724148739129,,,0,,
89238,,Garita Paul Harris,,-33.064825584772,-71.3619301188737,,,0,,
89239,,Los Carrera 243,,-33.0465892544057,-71.4565182197839,,,0,,
89240,,Pdte. Gabriel González Videla - Los Tilos,,-33.0592979837083,-71.4314124919474,,,0,,
89241,,El Rincón - Los Franciscanos,,-33.053956629107,-71.3384017813951,,,0,,
89242,,Pasarela Federico Santa Maria,,-33.033919237008,-71.5953493583948,,,0,,
89243,,Troncos Viejos - Alcalde Alejandro Peralta / Norte,,-33.0583605724463,-71.3950339425355,,,0,,
89244,,Variante Soberanía / Camino Troncal,,-33.0374269506733,-71.5088344551623,,,0,,
89245,,Corporacion Municipal De Valparaiso,,-33.0433493450492,-71.6208786237985,,,0,,
89246,,Supermercado Unimarc,,-33.0444331072043,-71.3769770599902,,,0,,
89247,,Estación Portales,,-33.032835571128,-71.5912268031389,,,0,,
89248,,Serena - Ramon Angel Jara,,-33.0642074278386,-71.402950482443,,,0,,
89249,,Buenos Aires - Bellochio,,-33.0527696174093,-71.4298085309565,,,0,,
89250,,Orompello - Lincoyán,,-33.0351648953988,-71.4028952457011,,,0,,
89251,,Las Palmas 2305 / Norte,,-33.0650436245453,-71.4273140765727,,,0,,
89252,,Las Américas - Las Dilas,,-33.0415551642554,-71.394776199013,,,0,,
89253,,Caleta Membrillo / Oriente,,-33.0223485775129,-71.6334420908241,,,0,,
89254,,Mateo De Toro Y Zambrano - El Belloto,,-33.0361340335468,-71.4078455138952,,,0,,
89255,,Alcalde Barros - Tucapel,,-33.0271563595742,-71.6395467985421,,,0,,
89256,,"Universidad De Playa Ancha, Ciencias De La Educacion / Poniente",,-33.0234101756479,-71.6415155399591,,,0,,
89257,,Argentina - Pedro Montt,,-33.0467795573702,-71.6044420469551,,,0,,
89258,,Troncos Viejos - Alde A. Peralta / Sur,,-33.0584977003765,-71.3954014051706,,,0,,
89259,,Juan Alvarado - Villa Alemana,,-33.0595407648537,-71.4519799221307,,,0,,
89260,,Cuarta Compaía De Bomberos,,-33.0561530081716,-71.3911340106279,,,0,,
89261,,Maturana - La Palma,,-33.0585651402638,-71.3725087512285,,,0,,
89262,,Caleta Abarca,,-33.0239513513533,-71.5693372953683,,,0,,
89263,,El Rocio - Porvenir,,-33.0576546974256,-71.3900986779481,,,0,,
89264,,Madrid / Sur,,-33.0386703817678,-71.3886127341539,,,0,,
89265,,Baquedano - Barros Araña,,-33.0422724103967,-71.3591272104532,,,0,,
89266,,Colegio Carlos Cousiño / Poniente,,-33.0505374381042,-71.608197139576,,,0,,
89267,,Gregoria - Serena,,-33.0494288129879,-71.4050667453557,,,0,,
89268,,Unión - Contreras,,-33.0377934611202,-71.3925448525697,,,0,,
89269,,Huanhuali - Los Cipreses,,-33.0615436837541,-71.3871670234948,,,0,,
89270,,Reloj De Flores,,-33.0231783247287,-71.5675938595086,,,0,,
89271,,Aviador Acevedo 792,,-33.0425219837032,-71.4072366524488,,,0,,
89272,,Colon - Francia - Liceo Eduardo De La Barra,,-33.0497866362284,-71.6131189931185,,,0,,
89273,,Plaza Belén,,-33.0429221988807,-71.3763279654086,,,0,,
89274,,Los Cipreses,,-33.0638702494996,-71.3878697622567,,,0,,
